"","Insulation","Temperature","Num_Occupants","Avg_Age","Home_Size","predit"
"1",5,69,10,70.1,7,249.398236395389
"2",5,80,1,66.7,1,216.536826771986
"3",4,89,9,67.8,7,224.421751721527
"4",7,81,9,52.4,6,207.912631133619
"5",4,58,8,22.9,7,163.393301537577
"6",4,58,6,37.4,3,179.749519373654
"7",6,51,2,51.6,3,221.480471265829
"8",2,73,5,37.4,4,163.490045768428
"9",9,39,1,56.9,7,265.269971466471
"10",8,84,5,64.5,2,220.804538751302
"11",10,74,6,58.3,1,220.526312091679
"12",5,49,6,68.6,6,261.752387584715
"13",8,45,2,33.9,8,214.413662308297
"14",3,49,4,49.7,4,212.142323558518
"15",9,66,6,66.2,5,252.376208083003
"16",9,57,10,70.1,7,273.139425175692
"17",9,66,10,32.9,6,189.010192062322
"18",4,47,3,55.2,6,234.631662735964
"19",5,53,1,19.8,7,166.857133903421
"20",5,77,3,66.9,5,231.687894723684
"21",3,66,6,64.1,3,221.951886138657
"22",6,87,7,36.1,6,167.862659217623
"23",10,47,1,71.3,4,280.429294245492
"24",10,76,3,59.5,7,240.981372490534
"25",3,60,4,68.2,4,238.940726629017
"26",4,86,7,29.9,1,134.035945614389
"27",8,69,9,62.2,1,225.084728866567
"28",3,67,5,24.8,3,144.094327271979
"29",3,78,6,67.3,7,230.489408132219
"30",4,43,3,46,8,226.368880492888
"31",7,39,10,29.4,7,202.138358522212
"32",4,66,7,40.7,8,194.865884307533
"33",5,61,4,32.2,3,170.780922838245
"34",3,58,2,62.1,4,229.22701834011
"35",7,67,6,39.5,4,189.196439844369
"36",9,87,10,54.5,1,197.345801558868
"37",10,47,8,31.2,1,190.202809886434
"38",10,84,4,36.5,3,175.853173379674
"39",2,61,9,34.1,7,175.880676272071
"40",5,73,3,57.8,2,207.764144692769
"41",7,71,1,61,5,232.498089050989
"42",2,69,1,32.4,7,167.73103795672
"43",5,85,1,41.7,1,163.041775521465
"44",3,72,8,18.9,6,136.854025334297
"45",8,87,2,56.8,4,210.207864833453
"46",6,69,4,33.2,1,162.769813845668
"47",3,73,3,48.2,3,185.412786636719
"48",6,72,4,35.5,4,174.195938933553
"49",3,70,6,37.9,4,170.139292467539
"50",9,53,5,40.3,5,213.039576452408
"51",8,74,5,35.6,4,179.034735881833
"52",5,76,4,68.8,4,232.852405038972
"53",8,88,6,26.8,6,155.630625747937
"54",3,65,9,17.2,8,145.67569101124
"55",10,88,1,69.8,6,248.156560022516
"56",2,58,3,42.5,7,196.617070447725
"57",8,59,6,60,4,239.780613851906
"58",4,77,9,18.8,5,132.19285189074
"59",9,83,9,58.3,6,224.422122791148
"60",4,50,7,29.8,4,174.671285106774
"61",10,49,10,48.9,6,238.577539502137
"62",9,54,4,19,7,176.909735114776
"63",4,89,9,42.9,2,159.61537038891
"64",8,48,1,66.6,5,266.840509703069
"65",3,39,6,62.8,4,246.055878133747
"66",8,41,3,64.7,8,278.171563193197
"67",2,60,9,19.8,1,129.610367935185
"68",6,63,9,65.3,3,236.09031602656
"69",8,56,4,69.4,5,264.578499390313
"70",4,57,2,53.6,1,207.198490182453
